platform,context_id,source_url,post_title,post_context,post_published_at_raw,post_published_at,verdict,reason,metadata_resolved,matched_groups,co_thanh_pho_khac,discovery_source,discovery_query,expected_comment_count,captured_comment_count,missing_comment_count,comment_capture_status,comment_retry_count,crawled_at
youtube,-7aGWLw2WO8,https://www.youtube.com/watch?v=-7aGWLw2WO8,Hà Nội &#39;thất thủ&#39; trong mưa lớn! | DDN tổng hợp,"Hà Nội &#39;thất thủ&#39; trong mưa lớn! | DDN tổng hợp
Giới Thiệu : 
Hà Nội 'thất thủ' trong mưa lớn! | DDN tổng hợp

Hà Nội chìm trong biển nước, người dân chèo thuyền đi làm! Xem ngay video để cập nhật tình hình ngập lụt nghiêm trọng tại Hà Nội sáng 30/9 do mưa lớn kéo dài. Liệu hệ thống thoát nước đô thị có thực sự quá tải? Cùng DDN tổng hợp tìm hiểu nguyên nhân và giải pháp cho vấn đề này nhé!

============================
### Giới thiệu
Video cập nhật tình hình ngập lụt nghiêm trọng tại Hà Nội do mưa lớn ngày 30/9. Phân tích nguyên nhân, hậu quả và các giải pháp để giải quyết tình trạng này. Cùng DDN tổng hợp tìm hiểu chi tiết nhé!
============================
### Mốc thời gian
00:00 Giới thiệu
00:41 Tình hình ngập lụt
01:38 Số liệu mưa lớn
02:34 Cuộc sống đảo lộn
03:33 Nguyên nhân ngập lụt
04:46 Giải pháp
05:55 Ứng phó biến đổi khí hậu
06:46 Công ty Thoát nước Hà Nội
07:55 Giải pháp đột phá
09:03 Nguy cơ tiềm ẩn
09:55 Bài học kinh nghiệm
10:49 Kinh nghiệm quốc tế
11:43 Chung tay hành động
12:30 Kết luận
13:04 Subscribe DDN tổng hợp

============================
### Hashtags
#Hanoingaplut, #ngaplut, #mualon, #thoitiet, #giaothong, #biendoikhihau, #DDNtonghop
============================
### Danh sách từ khóa
Hà Nội ngập lụt, ngập lụt, mưa lớn, thời tiết, giao thông, biến đổi khí hậu, thoát nước, Hà Nội",2025-09-30T13:41:44Z,2025-09-30T13:41:44Z,accept,flood_transport_hanoi,1,"flood_state,transport_impact,hanoi_location",0,search,ngập úng Hà Nội đi,,,,,,2026-09-25T11:27:40.591843+07:00
youtube,-9CLhyLFejw,https://www.youtube.com/watch?v=-9CLhyLFejw,"Thảm họa rình rập: Miền Bắc mưa lớn cực đoan xối xả, Hà Nội “thất thủ” trong ngập lụt liên hoàn","Thảm họa rình rập: Miền Bắc mưa lớn cực đoan xối xả, Hà Nội “thất thủ” trong ngập lụt liên hoàn
Thể Thao Văn Hóa | Theo ông Mai Văn Khiêm, Giám đốc Trung tâm Dự báo khí tượng thủy văn quốc gia, sáng sớm 30/9, khu vực Bắc Bộ, Thanh Hóa, có mưa vừa, mưa to, cục bộ có nơi mưa rất to. Các tỉnh Lào Cai, Phú Thọ, Tuyên Quang có mưa to đến rất to với lượng mưa phổ biến 40-80mm, cục bộ có nơi trên 150mm.
_____________________
🔔 THỂ THAO & VĂN HÓA: là kênh Youtube chia sẻ các nội dung tin tức về thể thao và văn hóa trong nước cũng như nước ngoài. Với mong muốn cập nhật những thông tin chính xác và nhanh nhất trên nền tảng số cho quý vị và các bạn. Cảm ơn các bạn đã xem video!

🔔 ĐĂNG KÝ KÊNH để nhận những thông tin mới nhất: http://bit.ly/thethao_vanhoa
Website: http://thethaovanhoa.vn/
Fanpage: https://www.facebook.com/baothethaovanhoa

© Bản quyền thuộc về TT&VH HUB
© Copyright by TT&VH HUB ☞ Do not Reup

#thethaovanhoa #tinthethaomoinhat #vanhoavietnam #bacbomualon #hanoimualon",2025-09-30T09:30:01Z,2025-09-30T09:30:01Z,reject,missing_group:transport_impact,1,"flood_state,hanoi_location",0,search,mưa cực đoan Ha Noi be,,,,,,2026-09-25T14:29:22.920846+07:00
youtube,-Cdh1niaBlI,https://www.youtube.com/watch?v=-Cdh1niaBlI,Thiếu ý thức khi di chuyển qua đoạn đường ngập | VTVWDB,"Thiếu ý thức khi di chuyển qua đoạn đường ngập | VTVWDB
Thiếu ý thức khi di chuyển qua đoạn đường ngập | VTVWDB

🌈 Dự báo thời tiết VTV là Kênh Youtube chính thức của Phòng Thời Tiết và Môi Trường, Ban Thời Sự – Đài Truyền Hình Việt Nam.

#dubaothoitiet #dbtt #vtvwdb #thoitiet #bantinthoitiet #vtvthoitiet #dubaothoitietvtv #thoitietvtv

►  Cập nhật về tình hình thời tiết và thiên tai nhanh nhất tại Dự Báo Thời Tiết VTV

👉Đăng ký kênh ngay:  https://www.youtube.com/vtvwdb?sub_confirmation=1
✔️Đồng hành cùng VTVWDB tại:
📌Fanpage chính thức      : https://fb.com/vtvthoitiet
📌Website chính thức       : https://vtvgo.vn/video/catalog/list/vodchannel_1172/thoi-tiet-hom-nay-11,vodchannel_1166.html
➥ Đơn vị vận hành: Phòng Thời Tiết và Môi Trường, Ban Thời Sự - Đài THVN, 43 Nguyễn Chí Thanh - Ba Đình - Hà Nội.
📞 Hotline tiếp nhận phán ánh về thiên tai và môi trường : 0983.456.456 - 0858.247.247
📧 Email: thoitiet@vtv.vn
©Bản Quyền Thuộc Về Đài Truyền Hình Việt Nam ✖️ Không đăng tải lại video.",2025-10-12T06:51:40Z,2025-10-12T06:51:40Z,accept,flood_transport_hanoi,1,"flood_state,transport_impact,hanoi_location",0,search,lụt Hà Nội di chuyển,,,,,,2026-09-25T10:47:20.379079+07:00
youtube,-GIwi_8noZE,https://www.youtube.com/watch?v=-GIwi_8noZE,&quot; BÁC TÀI XẾ TAXI KHIẾN CẢ KHU PHỐ CẢM ĐỘNG GIỮ DÒNG NƯỚC LỚN !&quot;,"&quot; BÁC TÀI XẾ TAXI KHIẾN CẢ KHU PHỐ CẢM ĐỘNG GIỮ DÒNG NƯỚC LỚN !&quot;
Câu chuyện về hành động đẹp của tài xế taxi khi xe bị chết máy giữa dòng nước lũ cuồn cuộn đã được ghi lại và chia sẻ rộng rãi, đặc biệt trong đợt mưa lớn gây ngập lụt nghiêm trọng ở Hà Nội gần đây (cuối tháng 9 năm 2025).
​Cảnh tượng tài xế bế khách giữa dòng nước
​Sự việc này được ghi nhận tại khu vực ngã tư Láng Hạ - Huỳnh Thúc Kháng (Hà Nội), khi nhiều tuyến phố bị ngập sâu do hoàn lưu bão số 10.
​Tình huống: Một chiếc xe taxi (được xác định là xe điện trong một số nguồn tin) đã bị mắc kẹt và chết máy ngay giữa vùng nước ngập sâu dưới chân cầu vượt. Mực nước dâng cao khiến hành khách bên trong không thể mở cửa xe để thoát ra ngoài.
​Hành động nhân văn: Trước tình thế nguy hiểm, tài xế đã không ngần ngại, buộc phải bế từng hành khách (khoảng 3 khách nữ) ra khỏi xe qua cửa sổ để đưa họ đến đoạn đường khô ráo, an toàn.
​""Cái kết"": Khoảnh khắc tài xế ""giải cứu"" nhóm khách nữ này đã nhận được sự tán thưởng nồng nhiệt từ những người chứng kiến xung quanh. Đây là một hình ảnh đẹp, thể hiện tinh thần trách nhiệm và sự tử tế, sẵn sàng giúp đỡ của người tài xế giữa lúc thiên tai.
​Hành động này không chỉ giúp hành khách thoát khỏi tình huống nguy hiểm mà còn lan tỏa năng lượng tích cực về tinh thần tương thân tương ái trong cộng đồng.",2025-09-30T07:34:07Z,2025-09-30T07:34:07Z,accept,flood_transport_hanoi,1,"flood_state,transport_impact,hanoi_location",0,search,mưa ngập Ha Noi taxi,,,,,,2026-09-25T14:28:09.336572+07:00
youtube,-MhnjarTQlY,https://www.youtube.com/watch?v=-MhnjarTQlY,"Mưa lớn dồn dập, vì sao nhiều điểm ngập ở Hà Nội nước rút nhanh bất ngờ? | VTC News","Mưa lớn dồn dập, vì sao nhiều điểm ngập ở Hà Nội nước rút nhanh bất ngờ? | VTC News
VTC News | Hà Nội vừa trải qua một trong những đợt mưa lớn đáng chú ý khi nhiều khu vực ghi nhận lượng mưa lên tới hơn 600 mm. Hàng loạt tuyến đường ngập sâu, nhưng điều bất ngờ là nhiều điểm từng được xem là “điểm đen” ngập úng năm 2025 lần này lại không còn xảy ra tình trạng ngập kéo dài.
Vậy hệ thống thoát nước Hà Nội đã thay đổi ra sao sau hàng loạt công trình chống ngập được đầu tư? Vì sao khu vực Tố Hữu nằm ngay cạnh hồ điều hòa Đồng Bông 2 vẫn ngập, trong khi nhiều nơi nước đã rút nhanh chỉ sau 30 phút đến 2 giờ?



Kênh Youtube chính thức của Báo điện tử VTC News - Cập nhật tin tức thời sự nhanh chóng, chính xác nhất
Kết nối với VTC News tại:
✓ Website: http://vtcnews.vn
✓ Facebook : https://www.facebook.com/vtcnewsvn/
✓ Twitter: http://twitter.com/vtcnewsvn
✓ Youtube: https://www.youtube.com/@VTCNewstintuc
Cơ quan chủ quản: Đài Tiếng nói Việt Nam
Email: toasoan@vtcnews.vn
#VTCNews #xuhuong #News #baodientu #tintuc #thoisu",2026-09-18T06:00:00Z,2026-09-18T06:00:00Z,accept,flood_transport_hanoi,1,"flood_state,transport_impact,hanoi_location",0,search,ngập nước Hà Nội giao thông,,,,,,2026-09-25T14:31:05.203999+07:00
youtube,-aPhEgiM_6Q,https://www.youtube.com/watch?v=-aPhEgiM_6Q,"Cảnh Tài Xế Bế Khách Khỏi Taxi Giữa Đường Ngập : Phục Vụ Tận Tâm, Xứng Đáng 5 Sao","Cảnh Tài Xế Bế Khách Khỏi Taxi Giữa Đường Ngập : Phục Vụ Tận Tâm, Xứng Đáng 5 Sao
Cảnh Tài Xế Bế Khách Khỏi Taxi Giữa Đường Ngập : Phục Vụ Tận Tâm, Xứng Đáng 5 Sao

Những trận mưa như trút vào đêm 29 và sáng 30/9 ở Hà Nội gây ngập lụt ở nhiều khu vực. Có những khoảnh khắc bi hài khi cả thành phố dường như biến thành sông, giao thông tê liệt, đời sống đảo lộn. Nhưng cũng chính trong những hoàn cảnh ấy, đôi khi lại xuất hiện những câu chuyện đặc biệt, vừa khiến người ta bật cười, vừa gợi lên sự ấm áp về tình người. Và mới đây, mạng xã hội xôn xao trước đoạn clip ghi lại cảnh một tài xế taxi phải “bế” hành khách qua cửa sổ xe giữa dòng nước ngập sâu trên một tuyến phố ở Hà Nội. Hình ảnh ấy không chỉ  có sự hài hước mà còn vì nó phản ánh chân thực cuộc sống của người dân đô thị những ngày mưa lớn xảy ra do ảnh hưởng của bão, đồng thời gợi mở nhiều suy ngẫm về tinh thần ứng xử của người Việt trong những tình huống nguy cấp, khó khăn.

Đăng ký theo dõi: https://bit.ly/39WVNXP
------------------------------
Đừng quên theo dõi BLV Anh Quân trên:
Youtube: https://www.youtube.com/c/blvanhquan​
Facebook: https://www.facebook.com/blvanhquan/​
Anchor: https://anchor.fm/blvanhquan​
Soundcloud: https://soundcloud.com/blvanhquan​
Spotify: https://open.spotify.com/show/0fAT5KU​...
Gmail : blvanhquan@gmail.com

----------------------------------------------------------------
© Bản quyền thuộc về BLV Anh Quân
© Do not Reup
#BLVAnhQuan #BLVAnhQuânTV",2025-10-01T12:01:39Z,2025-10-01T12:01:39Z,accept,flood_transport_hanoi,1,"flood_state,transport_impact,hanoi_location",0,search,mưa ngập Ha Noi taxi,,,,,,2026-09-25T12:00:13.026081+07:00
youtube,-d4hp2zxx0M,https://www.youtube.com/watch?v=-d4hp2zxx0M,Cơn Bão đi qua nước rút hết hà nội lại quay về những ngày yên bình.,Cơn Bão đi qua nước rút hết hà nội lại quay về những ngày yên bình.,2025-10-12T06:17:17Z,2025-10-12T06:17:17Z,reject,missing_group:flood_state,1,"transport_impact,hanoi_location",0,search,ngập nước Hà Nội giao thông,,,,,,2026-09-25T10:05:44.705020+07:00
youtube,-fbDtKjV5yI,https://www.youtube.com/watch?v=-fbDtKjV5yI,"Điểm Tin Tối: Tổng Bí Thư Thăm Úc, Hà Nội Ngập Nặng, U20 Việt Nam Chót Bảng","Điểm Tin Tối: Tổng Bí Thư Thăm Úc, Hà Nội Ngập Nặng, U20 Việt Nam Chót Bảng
Điểm tin buổi tối tổng hợp các tin nóng nhất: Tổng Bí thư, Chủ tịch nước Tô Lâm thăm cấp nhà nước Úc; Hà Nội mưa lớn gây ngập nặng, xe chết máy hàng loạt; Mỹ có thể thu hồi thị thực B1, B2 của 200.000 người; U20 Việt Nam thua đậm Triều Tiên và tạm chót bảng C vòng loại châu Á 2027; vụ lật xe 33 người ở Pleiku; vụ cháy xưởng gỗ Hà Nội và tin thể thao Hai Long tại ASEAN Cup 2026. Theo dõi ngay để cập nhật tin tức mới nhất!

⏱ Nội dung:
00:00 Mở đầu
01:04 U20 Việt Nam - Vòng loại châu Á 2027
01:20 U20 Việt Nam 0-3 Triều Tiên
01:35 Vụ lật xe 33 người ở Pleiku
01:50 ASEAN Cup 2026 - Chung kết lượt đi
02:06 Vụ cháy xưởng gỗ ở Hà Nội
02:24 Tổng Bí thư thăm cấp nhà nước Úc
02:52 Hà Nội ngập nặng sau mưa lớn
03:12 Mỹ siết chặt chính sách thị thực",2026-09-02T11:08:14Z,2026-09-02T11:08:14Z,accept,flood_transport_hanoi,1,"flood_state,transport_impact,hanoi_location",0,search,điểm ngập Hà Nội xe máy,,,,,,2026-09-25T11:49:12.610629+07:00
youtube,-gCPV6U1PYA,https://www.youtube.com/watch?v=-gCPV6U1PYA,"HÀ NỘI: NHIỀU TUYẾN ĐƯỜNG, PHỐ NGẬP SAU TRẬN MƯA LỚN","HÀ NỘI: NHIỀU TUYẾN ĐƯỜNG, PHỐ NGẬP SAU TRẬN MƯA LỚN
Mưa lớn kéo dài từ đêm 16 đến rạng sáng 17/09 khiến nhiều tuyến đường tại thành phố Hà Nội ngập sâu, giao thông ùn ứ, ảnh hưởng đến việc đi lại và sinh hoạt của người dân. 

HTV Tin tức, kênh Tin tức chính thức của Đài Phát thanh và Truyền hình TP. Hồ Chí Minh (HTV).
------------------------------------------------
#HTVTintức là kênh Youtube chính thức chuyên về thông tin thời sự của Trung tâm Tin tức, Đài Phát thanh và Truyền hình TP. Hồ Chí Minh.Chúng tôi liên tục cập nhật các thông tin thời sự trong nước và quốc tế trong các bản tin, chương trình, chuyên đề, để gửi đến quý vị khán giả những thông tin nhanh chóng và chính xác.

#HTVTinTuc #HTV9 #TinTuc24h #TinMoiNhat #60Giay #HTVNewZ #NewZ #Thoisu #Homnay #Thegioi",2026-09-18T02:22:34Z,2026-09-18T02:22:34Z,accept,flood_transport_hanoi,1,"flood_state,transport_impact,hanoi_location",1,search,ngập nước Hà Nội giao thông,,,,,,2026-09-25T10:41:50.712472+07:00
youtube,-jfAv_5rO04,https://www.youtube.com/watch?v=-jfAv_5rO04,Mưa lớn ở TP. Hồ Chí Minh cuốn trôi cả người và xe | VTV24,"Mưa lớn ở TP. Hồ Chí Minh cuốn trôi cả người và xe | VTV24
Chiều và tối qua (5/8), ở thủ đô Hà Nội và TP. Hồ Chí Minh đã xảy ra ngập sâu do mưa lớn. Tại phường Thủ Đức (TP. Hồ Chí Minh), có đoạn nước ngập sâu tới cả mét. Nước chảy xiết gây khó khăn cho người tham gia giao thông.
----------
Đồng hành cùng VTV Digital tại:

Ứng dụng VTVgo
Android: https://bit.ly/305aQLs
iOS: https://apple.co/3g8yMTS
hoặc xem trực tiếp trên https://vtvgo.vn/

Báo điện tử: https://VTV.vn

Fanpage:
Tin tức, Xã hội: https://fb.com/tintucvtv24
Chuyên trang Tài Chính: https://fb.com/VTVMoney
Báo điện tử VTV: https://fb.com/baodientuvtv

Youtube: https://youtube.com/vtv24
Zalo: https://zalo.me/1571891271885013375
Instagram: https://instagram.com/vtv24news/
Tiktok: tiktok.com/@vtv24news
Twitter: https://twitter.com/vtvdigitalnews
#VTVDigital #Tintuc",2025-08-06T02:30:00Z,2025-08-06T02:30:00Z,accept,flood_transport_hanoi,1,"flood_state,transport_impact,hanoi_location",1,search,mưa lớn gây ngập Hà Nội người tham gia giao thông,,,,,,2026-09-25T11:37:39.079696+07:00
youtube,-kzi4KoWeEY,https://www.youtube.com/watch?v=-kzi4KoWeEY,MƯA GIÓ HÀ NỘI KHỦNG KHIẾP NHẤT TỪ TRƯỚC TỚI GIỜ ,"MƯA GIÓ HÀ NỘI KHỦNG KHIẾP NHẤT TỪ TRƯỚC TỚI GIỜ 
Một ngày mưa gió Hà Nội, Nguyễn Đăng Huy đang đi trên đường chịu cảnh tắc đường 6 tiếng đường xá bị ngập úng tắc ngẽn giao thông nghiêm trọng.
#muabao #hanoi #tintuc #nguyendanghuy #tacduong #thôngtin",2025-10-01T06:55:14Z,2025-10-01T06:55:14Z,accept,flood_transport_hanoi,1,"flood_state,transport_impact,hanoi_location",0,search,ngập úng Hà Nội đi,,,,,,2026-09-25T11:27:21.144535+07:00
